,NaturalPersonID,ProductName,CreditSum,TypeOfWork,Employment,SignIP,sex,age,EducationStatus,otrasl_rabotodatelya,kolichestvo_rabotnikov_v_organizacii,OrgStanding_N,kolichestvo_detej_mladshe_18,LivingRegionName,Residence,IncomeDocumentKind,HaveSalaryCard,IsBankWorker,harakteristika_tekutschego_trudoustrojstva,ConfirmedMonthlyIncome (Target),month,day,year
56,6CD7B7F7-B6EA-488F-A34D-1DBD48C5DAE2,1,1300000.0,0,4,0,2,51,3,12,4,28.916666,0,4,2,0,0,0,2,71546.0,11,9,2018
57,604BE89D-0E0A-481A-A575-241BE38A07B7,1,500000.0,0,1,0,2,24,5,28,4,0.25,0,15,2,1,0,1,2,25336.12,11,8,2018
58,5F643E63-9CF1-46B2-997D-A7F5D10A49A9,1,580000.0,0,1,0,2,38,3,21,3,7.5,2,3,1,0,0,0,2,25434.74,11,7,2018
59,51B649F8-B7BF-4908-924A-95C4EC1E7AD4,1,130000.0,0,1,0,1,43,5,13,2,5.0,0,44,2,0,0,0,2,22458.17,11,13,2018
60,39E242C0-5932-4303-AEF4-E9525243CD6F,2,31000.0,0,1,0,2,47,5,12,4,9.416666,1,29,2,0,0,0,2,107197.01,12,20,2018
61,10B62E78-ABDA-4511-887B-8ED6981CD52B,1,327875.0,0,3,0,2,38,5,20,4,15.0,1,1,2,1,1,0,2,213286.8,11,8,2018
62,07CF944D-B5C5-495A-9063-60D3FE91EE89,1,1216545.38,0,4,0,2,52,3,0,2,10.583333,0,26,1,0,0,0,2,44225.0,11,12,2018
63,0AEF54DB-96F5-4F29-85E5-FA1C4A64DE7D,1,600425.0,0,2,0,2,38,3,0,2,4.5,3,17,1,0,0,0,2,81747.43,11,7,2018
64,33009B0E-AA1C-4F9E-A93A-FCC4EF5E9756,1,300000.0,0,2,0,1,25,5,17,3,1.583333,0,15,2,1,1,0,2,24123.98,11,9,2018
65,20D59E7C-447D-4023-9173-8CCE10DB3B49,1,1265916.69,0,1,0,1,29,5,1,3,4.166666,2,15,1,1,1,0,2,32963.56,11,8,2018
66,4C85CF2E-7C9C-4E4D-9C8D-7DBB82C3DFCE,2,35000.0,0,1,0,1,23,3,28,4,0.416666,0,43,2,1,0,1,2,26430.55,11,8,2018
67,02080F0F-1867-4A29-B16B-3E537F0365DD,1,209523.71,0,1,0,1,45,3,2,3,4.0,1,6,1,1,1,0,2,17226.35,11,8,2018
68,D40821AC-F6B0-4B0C-9A1E-F737210F8617,2,31000.0,0,1,0,1,30,5,28,4,1.583333,0,24,2,1,0,1,2,64064.14,11,9,2018
69,917EB291-BAB2-4B83-9D82-BC64F5DEDBCD,2,31000.0,0,4,0,1,46,5,28,4,6.5,0,13,2,1,0,1,2,28461.24,11,7,2018
